FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
36,New York,1999,1,"14,436,816   ","9,094,074   ",63.0,"8,611,289   ",59.6,"482,785   ",5.3
37,North Carolina,1999,1,"5,998,092   ","4,008,017   ",66.8,"3,881,016   ",64.7,"127,001   ",3.2
38,North Dakota,1999,1,"485,846   ","344,789   ",71.0,"333,644   ",68.7,"11,145   ",3.2
39,Ohio,1999,1,"8,589,302   ","5,728,281   ",66.7,"5,482,706   ",63.8,"245,575   ",4.3
40,Oklahoma,1999,1,"2,550,578   ","1,649,706   ",64.7,"1,585,001   ",62.1,"64,705   ",3.9
41,Oregon,1999,1,"2,600,484   ","1,786,516   ",68.7,"1,684,299   ",64.8,"102,217   ",5.7
42,Pennsylvania,1999,1,"9,455,492   ","6,082,056   ",64.3,"5,808,045   ",61.4,"274,011   ",4.5
44,Rhode Island,1999,1,"804,220   ","536,139   ",66.7,"514,233   ",63.9,"21,906   ",4.1
45,South Carolina,1999,1,"2,970,598   ","1,963,455   ",66.1,"1,885,007   ",63.5,"78,448   ",4.0
46,South Dakota,1999,1,"553,683   ","401,247   ",72.5,"390,053   ",70.4,"11,194   ",2.8
47,Tennessee,1999,1,"4,298,863   ","2,839,899   ",66.1,"2,721,154   ",63.3,"118,745   ",4.2
48,Texas,1999,1,"14,797,547   ","10,203,530   ",69.0,"9,722,444   ",65.7,"481,086   ",4.7
49,Utah,1999,1,"1,540,878   ","1,117,910   ",72.6,"1,077,674   ",69.9,"40,236   ",3.6
50,Vermont,1999,1,"466,656   ","337,996   ",72.4,"327,174   ",70.1,"10,822   ",3.2
51,Virginia,1999,1,"5,208,914   ","3,533,720   ",67.8,"3,439,676   ",66.0,"94,044   ",2.7
53,Washington,1999,1,"4,383,509   ","3,059,237   ",69.8,"2,911,412   ",66.4,"147,825   ",4.8
54,West Virginia,1999,1,"1,433,537   ","797,471   ",55.6,"745,295   ",52.0,"52,176   ",6.5
55,Wisconsin,1999,1,"4,032,648   ","2,956,895   ",73.3,"2,861,202   ",71.0,"95,693   ",3.2
56,Wyoming,1999,1,"368,341   ","262,720   ",71.3,"249,972   ",67.9,"12,748   ",4.9
1,Alabama,1999,2,"3,355,229   ","2,146,853   ",64.0,"2,048,086   ",61.0,"98,767   ",4.6
2,Alaska,1999,2,"430,052   ","317,628   ",73.9,"296,974   ",69.1,"20,654   ",6.5
4,Arizona,1999,2,"3,735,217   ","2,464,632   ",66.0,"2,353,853   ",63.0,"110,779   ",4.5
5,Arkansas,1999,2,"1,995,295   ","1,251,256   ",62.7,"1,193,443   ",59.8,"57,813   ",4.6
6,California,1999,2,"24,549,068   ","16,333,134   ",66.5,"15,426,805   ",62.8,"906,329   ",5.5
8,Colorado,1999,2,"3,161,525   ","2,327,515   ",73.6,"2,256,884   ",71.4,"70,631   ",3.0
9,Connecticut,1999,2,"2,578,938   ","1,742,869   ",67.6,"1,697,421   ",65.8,"45,448   ",2.6
10,Delaware,1999,2,"586,367   ","397,686   ",67.8,"385,038   ",65.7,"12,648   ",3.2
11,District of Columbia,1999,2,"455,217   ","299,464   ",65.8,"277,950   ",61.1,"21,514   ",7.2
12,Florida,1999,2,"12,197,074   ","7,653,316   ",62.7,"7,341,549   ",60.2,"311,767   ",4.1
13,Georgia,1999,2,"5,929,196   ","4,100,694   ",69.2,"3,938,692   ",66.4,"162,002   ",4.0
15,Hawaii,1999,2,"898,428   ","602,286   ",67.0,"568,957   ",63.3,"33,329   ",5.5
16,Idaho,1999,2,"927,014   ","655,382   ",70.7,"621,686   ",67.1,"33,696   ",5.1
17,Illinois,1999,2,"9,273,381   ","6,405,177   ",69.1,"6,136,810   ",66.2,"268,367   ",4.2
18,Indiana,1999,2,"4,557,413   ","3,125,995   ",68.6,"3,037,775   ",66.7,"88,220   ",2.8
19,Iowa,1999,2,"2,220,091   ","1,594,329   ",71.8,"1,550,861   ",69.9,"43,468   ",2.7
20,Kansas,1999,2,"1,984,300   ","1,406,407   ",70.9,"1,358,254   ",68.5,"48,153   ",3.4
21,Kentucky,1999,2,"3,052,476   ","1,938,495   ",63.5,"1,849,929   ",60.6,"88,566   ",4.6
22,Louisiana,1999,2,"3,274,342   ","2,024,930   ",61.8,"1,921,718   ",58.7,"103,212   ",5.1
23,Maine,1999,2,"980,452   ","662,245   ",67.5,"636,044   ",64.9,"26,201   ",4.0
24,Maryland,1999,2,"3,940,714   ","2,763,463   ",70.1,"2,663,667   ",67.6,"99,796   ",3.6
25,Massachusetts,1999,2,"4,879,907   ","3,361,175   ",68.9,"3,250,730   ",66.6,"110,445   ",3.3
26,Michigan,1999,2,"7,455,974   ","5,069,566   ",68.0,"4,867,018   ",65.3,"202,548   ",4.0
27,Minnesota,1999,2,"3,658,356   ","2,729,460   ",74.6,"2,660,671   ",72.7,"68,789   ",2.5
28,Mississippi,1999,2,"2,078,208   ","1,273,838   ",61.3,"1,211,104   ",58.3,"62,734   ",4.9
29,Missouri,1999,2,"4,186,971   ","2,938,186   ",70.2,"2,842,884   ",67.9,"95,302   ",3.2
30,Montana,1999,2,"679,290   ","466,319   ",68.6,"440,891   ",64.9,"25,428   ",5.5
31,Nebraska,1999,2,"1,271,813   ","928,127   ",73.0,"903,570   ",71.0,"24,557   ",2.6
32,Nevada,1999,2,"1,448,817   ","1,006,835   ",69.5,"968,187   ",66.8,"38,648   ",3.8
33,New Hampshire,1999,2,"929,529   ","674,329   ",72.5,"655,462   ",70.5,"18,867   ",2.8
34,New Jersey,1999,2,"6,381,606   ","4,264,230   ",66.8,"4,077,829   ",63.9,"186,401   ",4.4
35,New Mexico,1999,2,"1,325,346   ","834,812   ",63.0,"786,249   ",59.3,"48,563   ",5.8
36,New York,1999,2,"14,440,897   ","9,089,825   ",62.9,"8,610,048   ",59.6,"479,777   ",5.3
37,North Carolina,1999,2,"6,004,579   ","4,012,867   ",66.8,"3,886,879   ",64.7,"125,988   ",3.1
38,North Dakota,1999,2,"485,918   ","343,883   ",70.8,"332,772   ",68.5,"11,111   ",3.2
39,Ohio,1999,2,"8,588,232   ","5,729,075   ",66.7,"5,483,653   ",63.9,"245,422   ",4.3
40,Oklahoma,1999,2,"2,551,767   ","1,650,714   ",64.7,"1,587,351   ",62.2,"63,363   ",3.8
41,Oregon,1999,2,"2,601,755   ","1,785,533   ",68.6,"1,684,773   ",64.8,"100,760   ",5.6
42,Pennsylvania,1999,2,"9,456,102   ","6,085,549   ",64.4,"5,813,808   ",61.5,"271,741   ",4.5
44,Rhode Island,1999,2,"803,709   ","536,319   ",66.7,"514,927   ",64.1,"21,392   ",4.0
45,South Carolina,1999,2,"2,973,576   ","1,963,509   ",66.0,"1,884,411   ",63.4,"79,098   ",4.0
46,South Dakota,1999,2,"554,772   ","401,392   ",72.4,"390,268   ",70.3,"11,124   ",2.8
47,Tennessee,1999,2,"4,301,458   ","2,839,759   ",66.0,"2,722,599   ",63.3,"117,160   ",4.1
48,Texas,1999,2,"14,818,149   ","10,209,003   ",68.9,"9,731,758   ",65.7,"477,245   ",4.7
49,Utah,1999,2,"1,543,326   ","1,119,080   ",72.5,"1,078,735   ",69.9,"40,345   ",3.6
50,Vermont,1999,2,"466,681   ","338,352   ",72.5,"327,579   ",70.2,"10,773   ",3.2
51,Virginia,1999,2,"5,213,041   ","3,534,749   ",67.8,"3,441,525   ",66.0,"93,224   ",2.6
53,Washington,1999,2,"4,387,752   ","3,058,412   ",69.7,"2,911,961   ",66.4,"146,451   ",4.8
54,West Virginia,1999,2,"1,433,414   ","797,617   ",55.6,"745,163   ",52.0,"52,454   ",6.6
55,Wisconsin,1999,2,"4,034,104   ","2,953,342   ",73.2,"2,860,504   ",70.9,"92,838   ",3.1
56,Wyoming,1999,2,"368,363   ","262,937   ",71.4,"250,151   ",67.9,"12,786   ",4.9
1,Alabama,1999,3,"3,356,031   ","2,148,065   ",64.0,"2,048,175   ",61.0,"99,890   ",4.7
2,Alaska,1999,3,"431,043   ","317,707   ",73.7,"296,946   ",68.9,"20,761   ",6.5
4,Arizona,1999,3,"3,742,001   ","2,472,128   ",66.1,"2,359,117   ",63.0,"113,011   ",4.6
5,Arkansas,1999,3,"1,996,707   ","1,251,918   ",62.7,"1,194,867   ",59.8,"57,051   ",4.6
6,California,1999,3,"24,580,160   ","16,348,582   ",66.5,"15,454,688   ",62.9,"893,894   ",5.5
8,Colorado,1999,3,"3,167,503   ","2,329,367   ",73.5,"2,259,711   ",71.3,"69,656   ",3.0
9,Connecticut,1999,3,"2,579,401   ","1,741,264   ",67.5,"1,696,520   ",65.8,"44,744   ",2.6
10,Delaware,1999,3,"587,443   ","397,717   ",67.7,"384,999   ",65.5,"12,718   ",3.2
11,District of Columbia,1999,3,"455,582   ","301,420   ",66.2,"280,225   ",61.5,"21,195   ",7.0
12,Florida,1999,3,"12,213,429   ","7,662,750   ",62.7,"7,353,397   ",60.2,"309,353   ",4.0
13,Georgia,1999,3,"5,938,207   ","4,104,732   ",69.1,"3,944,593   ",66.4,"160,139   ",3.9
15,Hawaii,1999,3,"898,559   ","602,170   ",67.0,"569,291   ",63.4,"32,879   ",5.5
16,Idaho,1999,3,"929,014   ","654,277   ",70.4,"620,644   ",66.8,"33,633   ",5.1
17,Illinois,1999,3,"9,277,630   ","6,417,500   ",69.2,"6,146,025   ",66.2,"271,475   ",4.2
18,Indiana,1999,3,"4,558,980   ","3,122,345   ",68.5,"3,034,932   ",66.6,"87,413   ",2.8
19,Iowa,1999,3,"2,220,419   ","1,595,270   ",71.8,"1,552,207   ",69.9,"43,063   ",2.7
20,Kansas,1999,3,"1,985,311   ","1,405,451   ",70.8,"1,357,519   ",68.4,"47,932   ",3.4
21,Kentucky,1999,3,"3,053,526   ","1,941,999   ",63.6,"1,852,879   ",60.7,"89,120   ",4.6
22,Louisiana,1999,3,"3,275,364   ","2,022,821   ",61.8,"1,921,446   ",58.7,"101,375   ",5.0
23,Maine,1999,3,"981,428   ","662,807   ",67.5,"636,486   ",64.9,"26,321   ",4.0
24,Maryland,1999,3,"3,942,539   ","2,763,965   ",70.1,"2,665,320   ",67.6,"98,645   ",3.6
25,Massachusetts,1999,3,"4,881,897   ","3,361,595   ",68.9,"3,250,598   ",66.6,"110,997   ",3.3
26,Michigan,1999,3,"7,457,674   ","5,074,625   ",68.0,"4,873,380   ",65.3,"201,245   ",4.0
27,Minnesota,1999,3,"3,662,042   ","2,731,786   ",74.6,"2,662,312   ",72.7,"69,474   ",2.5
28,Mississippi,1999,3,"2,079,310   ","1,273,926   ",61.3,"1,211,276   ",58.3,"62,650   ",4.9
29,Missouri,1999,3,"4,189,553   ","2,938,792   ",70.1,"2,843,138   ",67.9,"95,654   ",3.3
30,Montana,1999,3,"679,256   ","466,179   ",68.6,"440,991   ",64.9,"25,188   ",5.4
31,Nebraska,1999,3,"1,272,057   ","927,273   ",72.9,"902,640   ",71.0,"24,633   ",2.7
32,Nevada,1999,3,"1,452,743   ","1,010,585   ",69.6,"971,380   ",66.9,"39,205   ",3.9
33,New Hampshire,1999,3,"930,625   ","674,341   ",72.5,"655,718   ",70.5,"18,623   ",2.8
34,New Jersey,1999,3,"6,384,784   ","4,271,602   ",66.9,"4,081,239   ",63.9,"190,363   ",4.5
35,New Mexico,1999,3,"1,326,558   ","834,610   ",62.9,"786,458   ",59.3,"48,152   ",5.8
36,New York,1999,3,"14,444,978   ","9,088,999   ",62.9,"8,610,106   ",59.6,"478,893   ",5.3
37,North Carolina,1999,3,"6,012,066   ","4,018,102   ",66.8,"3,891,784   ",64.7,"126,318   ",3.1
38,North Dakota,1999,3,"485,990   ","343,097   ",70.6,"332,017   ",68.3,"11,080   ",3.2
39,Ohio,1999,3,"8,589,161   ","5,732,170   ",66.7,"5,485,492   ",63.9,"246,678   ",4.3
40,Oklahoma,1999,3,"2,553,956   ","1,651,770   ",64.7,"1,589,924   ",62.3,"61,846   ",3.7
41,Oregon,1999,3,"2,604,025   ","1,784,155   ",68.5,"1,684,579   ",64.7,"99,576   ",5.6
42,Pennsylvania,1999,3,"9,456,712   ","6,089,976   ",64.4,"5,818,845   ",61.5,"271,131   ",4.5
44,Rhode Island,1999,3,"804,197   ","536,685   ",66.7,"515,488   ",64.1,"21,197   ",3.9
45,South Carolina,1999,3,"2,976,554   ","1,963,143   ",66.0,"1,883,561   ",63.3,"79,582   ",4.1
46,South Dakota,1999,3,"554,860   ","401,560   ",72.4,"390,467   ",70.4,"11,093   ",2.8
47,Tennessee,1999,3,"4,304,053   ","2,839,943   ",66.0,"2,724,561   ",63.3,"115,382   ",4.1
48,Texas,1999,3,"14,838,750   ","10,218,114   ",68.9,"9,741,519   ",65.6,"476,595   ",4.7
49,Utah,1999,3,"1,545,775   ","1,120,226   ",72.5,"1,079,771   ",69.9,"40,455   ",3.6
50,Vermont,1999,3,"466,705   ","338,602   ",72.6,"327,866   ",70.3,"10,736   ",3.2
51,Virginia,1999,3,"5,218,169   ","3,536,891   ",67.8,"3,443,641   ",66.0,"93,250   ",2.6
53,Washington,1999,3,"4,390,995   ","3,057,849   ",69.6,"2,911,706   ",66.3,"146,143   ",4.8
54,West Virginia,1999,3,"1,432,290   ","797,860   ",55.7,"745,131   ",52.0,"52,729   ",6.6
55,Wisconsin,1999,3,"4,036,559   ","2,950,389   ",73.1,"2,859,948   ",70.9,"90,441   ",3.1
56,Wyoming,1999,3,"369,384   ","263,150   ",71.2,"250,321   ",67.8,"12,829   ",4.9
1,Alabama,1999,4,"3,357,833   ","2,149,267   ",64.0,"2,048,045   ",61.0,"101,222   ",4.7
2,Alaska,1999,4,"431,034   ","317,788   ",73.7,"296,968   ",68.9,"20,820   ",6.6
4,Arizona,1999,4,"3,748,784   ","2,478,412   ",66.1,"2,363,724   ",63.1,"114,688   ",4.6
5,Arkansas,1999,4,"1,999,119   ","1,253,075   ",62.7,"1,196,248   ",59.8,"56,827   ",4.5
6,California,1999,4,"24,617,251   ","16,370,149   ",66.5,"15,486,567   ",62.9,"883,582   ",5.4
8,Colorado,1999,4,"3,174,480   ","2,332,261   ",73.5,"2,262,405   ",71.3,"69,856   ",3.0
9,Connecticut,1999,4,"2,579,864   ","1,740,067   ",67.4,"1,695,908   ",65.7,"44,159   ",2.5
10,Delaware,1999,4,"587,520   ","397,939   ",67.7,"385,080   ",65.5,"12,859   ",3.2
11,District of Columbia,1999,4,"455,948   ","303,330   ",66.5,"282,373   ",61.9,"20,957   ",6.9
12,Florida,1999,4,"12,231,784   ","7,673,412   ",62.7,"7,365,693   ",60.2,"307,719   ",4.0
13,Georgia,1999,4,"5,948,218   ","4,110,383   ",69.1,"3,951,562   ",66.4,"158,821   ",3.9
15,Hawaii,1999,4,"898,690   ","602,415   ",67.0,"569,885   ",63.4,"32,530   ",5.4
16,Idaho,1999,4,"930,014   ","653,510   ",70.3,"619,903   ",66.7,"33,607   ",5.1
17,Illinois,1999,4,"9,283,879   ","6,433,561   ",69.3,"6,154,607   ",66.3,"278,954   ",4.3
18,Indiana,1999,4,"4,561,547   ","3,119,332   ",68.4,"3,031,771   ",66.5,"87,561   ",2.8
19,Iowa,1999,4,"2,221,747   ","1,596,517   ",71.9,"1,553,407   ",69.9,"43,110   ",2.7
20,Kansas,1999,4,"1,986,323   ","1,405,022   ",70.7,"1,356,786   ",68.3,"48,236   ",3.4
21,Kentucky,1999,4,"3,055,576   ","1,945,190   ",63.7,"1,855,549   ",60.7,"89,641   ",4.6
22,Louisiana,1999,4,"3,277,385   ","2,021,184   ",61.7,"1,921,299   ",58.6,"99,885   ",4.9
23,Maine,1999,4,"982,405   ","663,831   ",67.6,"637,186   ",64.9,"26,645   ",4.0
24,Maryland,1999,4,"3,946,363   ","2,765,009   ",70.1,"2,667,289   ",67.6,"97,720   ",3.5
25,Massachusetts,1999,4,"4,885,888   ","3,362,195   ",68.8,"3,250,546   ",66.5,"111,649   ",3.3
26,Michigan,1999,4,"7,461,374   ","5,080,471   ",68.1,"4,882,253   ",65.4,"198,218   ",3.9
27,Minnesota,1999,4,"3,666,727   ","2,735,663   ",74.6,"2,664,230   ",72.7,"71,433   ",2.6
28,Mississippi,1999,4,"2,081,412   ","1,274,852   ",61.2,"1,211,877   ",58.2,"62,975   ",4.9
29,Missouri,1999,4,"4,192,134   ","2,941,037   ",70.2,"2,843,748   ",67.8,"97,289   ",3.3
30,Montana,1999,4,"679,222   ","466,222   ",68.6,"441,167   ",65.0,"25,055   ",5.4
31,Nebraska,1999,4,"1,273,301   ","927,011   ",72.8,"902,128   ",70.8,"24,883   ",2.7
32,Nevada,1999,4,"1,457,669   ","1,014,556   ",69.6,"974,531   ",66.9,"40,025   ",3.9
33,New Hampshire,1999,4,"931,721   ","674,200   ",72.4,"655,818   ",70.4,"18,382   ",2.7
34,New Jersey,1999,4,"6,388,962   ","4,278,927   ",67.0,"4,084,140   ",63.9,"194,787   ",4.6
35,New Mexico,1999,4,"1,327,770   ","834,702   ",62.9,"786,819   ",59.3,"47,883   ",5.7
36,New York,1999,4,"14,453,059   ","9,093,451   ",62.9,"8,613,345   ",59.6,"480,106   ",5.3
37,North Carolina,1999,4,"6,019,553   ","4,023,746   ",66.8,"3,896,071   ",64.7,"127,675   ",3.2
38,North Dakota,1999,4,"486,062   ","342,569   ",70.5,"331,521   ",68.2,"11,048   ",3.2
39,Ohio,1999,4,"8,591,090   ","5,738,243   ",66.8,"5,489,153   ",63.9,"249,090   ",4.3
40,Oklahoma,1999,4,"2,556,144   ","1,653,029   ",64.7,"1,592,811   ",62.3,"60,218   ",3.6
41,Oregon,1999,4,"2,607,296   ","1,782,669   ",68.4,"1,683,753   ",64.6,"98,916   ",5.5
42,Pennsylvania,1999,4,"9,458,322   ","6,094,932   ",64.4,"5,822,647   ",61.6,"272,285   ",4.5
44,Rhode Island,1999,4,"804,685   ","537,337   ",66.8,"515,992   ",64.1,"21,345   ",4.0
45,South Carolina,1999,4,"2,980,532   ","1,962,469   ",65.8,"1,882,487   ",63.2,"79,982   ",4.1
46,South Dakota,1999,4,"554,949   ","401,845   ",72.4,"390,718   ",70.4,"11,127   ",2.8
47,Tennessee,1999,4,"4,307,648   ","2,841,150   ",66.0,"2,727,502   ",63.3,"113,648   ",4.0
48,Texas,1999,4,"14,863,352   ","10,229,711   ",68.8,"9,752,200   ",65.6,"477,511   ",4.7
49,Utah,1999,4,"1,548,223   ","1,121,410   ",72.4,"1,080,886   ",69.8,"40,524   ",3.6
50,Vermont,1999,4,"466,729   ","338,731   ",72.6,"328,054   ",70.3,"10,677   ",3.2
51,Virginia,1999,4,"5,224,296   ","3,540,243   ",67.8,"3,446,170   ",66.0,"94,073   ",2.7
53,Washington,1999,4,"4,396,239   ","3,058,180   ",69.6,"2,911,381   ",66.2,"146,799   ",4.8
54,West Virginia,1999,4,"1,432,167   ","798,290   ",55.7,"745,392   ",52.0,"52,898   ",6.6
55,Wisconsin,1999,4,"4,039,015   ","2,949,008   ",73.0,"2,860,114   ",70.8,"88,894   ",3.0
56,Wyoming,1999,4,"369,406   ","263,365   ",71.3,"250,516   ",67.8,"12,849   ",4.9
1,Alabama,1999,5,"3,359,635   ","2,150,068   ",64.0,"2,047,678   ",60.9,"102,390   ",4.8
2,Alaska,1999,5,"432,026   ","317,871   ",73.6,"297,095   ",68.8,"20,776   ",6.5
4,Arizona,1999,5,"3,756,568   ","2,483,008   ",66.1,"2,367,577   ",63.0,"115,431   ",4.6
5,Arkansas,1999,5,"2,000,530   ","1,254,437   ",62.7,"1,197,474   ",59.9,"56,963   ",4.5
6,California,1999,5,"24,653,343   ","16,395,775   ",66.5,"15,521,145   ",63.0,"874,630   ",5.3
8,Colorado,1999,5,"3,181,458   ","2,335,349   ",73.4,"2,264,653   ",71.2,"70,696   ",3.0
9,Connecticut,1999,5,"2,580,328   ","1,739,678   ",67.4,"1,696,098   ",65.7,"43,580   ",2.5
10,Delaware,1999,5,"588,596   ","398,332   ",67.7,"385,340   ",65.5,"12,992   ",3.3
11,District of Columbia,1999,5,"456,313   ","304,973   ",66.8,"284,263   ",62.3,"20,710   ",6.8
12,Florida,1999,5,"12,250,140   ","7,683,876   ",62.7,"7,377,601   ",60.2,"306,275   ",4.0
13,Georgia,1999,5,"5,958,229   ","4,117,680   ",69.1,"3,959,716   ",66.5,"157,964   ",3.8
15,Hawaii,1999,5,"898,821   ","602,896   ",67.1,"570,704   ",63.5,"32,192   ",5.3
16,Idaho,1999,5,"931,014   ","653,066   ",70.1,"619,504   ",66.5,"33,562   ",5.1
17,Illinois,1999,5,"9,289,128   ","6,450,641   ",69.4,"6,162,657   ",66.3,"287,984   ",4.5
18,Indiana,1999,5,"4,564,115   ","3,117,246   ",68.3,"3,028,696   ",66.4,"88,550   ",2.8
19,Iowa,1999,5,"2,223,075   ","1,597,224   ",71.8,"1,553,772   ",69.9,"43,452   ",2.7
20,Kansas,1999,5,"1,987,335   ","1,405,102   ",70.7,"1,356,296   ",68.2,"48,806   ",3.5
21,Kentucky,1999,5,"3,058,625   ","1,947,810   ",63.7,"1,857,833   ",60.7,"89,977   ",4.6
22,Louisiana,1999,5,"3,278,406   ","2,020,679   ",61.6,"1,921,495   ",58.6,"99,184   ",4.9
23,Maine,1999,5,"982,382   ","665,353   ",67.7,"638,343   ",65.0,"27,010   ",4.1
24,Maryland,1999,5,"3,949,188   ","2,766,674   ",70.1,"2,669,794   ",67.6,"96,880   ",3.5
25,Massachusetts,1999,5,"4,888,878   ","3,362,702   ",68.8,"3,250,534   ",66.5,"112,168   ",3.3
26,Michigan,1999,5,"7,464,073   ","5,087,246   ",68.2,"4,893,218   ",65.6,"194,028   ",3.8
27,Minnesota,1999,5,"3,670,412   ","2,740,602   ",74.7,"2,666,778   ",72.7,"73,824   ",2.7
28,Mississippi,1999,5,"2,082,514   ","1,276,644   ",61.3,"1,212,929   ",58.2,"63,715   ",5.0
29,Missouri,1999,5,"4,195,716   ","2,944,121   ",70.2,"2,845,079   ",67.8,"99,042   ",3.4
30,Montana,1999,5,"680,188   ","466,387   ",68.6,"441,383   ",64.9,"25,004   ",5.4
31,Nebraska,1999,5,"1,273,544   ","927,430   ",72.8,"902,189   ",70.8,"25,241   ",2.7
32,Nevada,1999,5,"1,461,594   ","1,018,568   ",69.7,"977,626   ",66.9,"40,942   ",4.0
33,New Hampshire,1999,5,"932,817   ","674,099   ",72.3,"655,954   ",70.3,"18,145   ",2.7
34,New Jersey,1999,5,"6,392,141   ","4,284,749   ",67.0,"4,086,426   ",63.9,"198,323   ",4.6
35,New Mexico,1999,5,"1,328,983   ","835,056   ",62.8,"787,385   ",59.2,"47,671   ",5.7
36,New York,1999,5,"14,460,140   ","9,102,479   ",62.9,"8,620,236   ",59.6,"482,243   ",5.3
37,North Carolina,1999,5,"6,028,040   ","4,030,270   ",66.9,"3,900,334   ",64.7,"129,936   ",3.2
38,North Dakota,1999,5,"486,134   ","342,305   ",70.4,"331,295   ",68.1,"11,010   ",3.2
39,Ohio,1999,5,"8,592,020   ","5,746,303   ",66.9,"5,494,585   ",63.9,"251,718   ",4.4
40,Oklahoma,1999,5,"2,558,333   ","1,654,310   ",64.7,"1,595,759   ",62.4,"58,551   ",3.5
41,Oregon,1999,5,"2,609,566   ","1,781,289   ",68.3,"1,682,493   ",64.5,"98,796   ",5.5
42,Pennsylvania,1999,5,"9,460,932   ","6,099,229   ",64.5,"5,824,692   ",61.6,"274,537   ",4.5
44,Rhode Island,1999,5,"805,173   ","538,229   ",66.8,"516,457   ",64.1,"21,772   ",4.0
45,South Carolina,1999,5,"2,984,510   ","1,961,241   ",65.7,"1,880,896   ",63.0,"80,345   ",4.1
46,South Dakota,1999,5,"555,038   ","402,280   ",72.5,"391,077   ",70.5,"11,203   ",2.8
